,PC1,PC2,PC3,PC4,PC5,PC6,PC7
player_season_passing_ratio,0.007094399155595031,-0.22764052934582987,0.09413441476338444,-0.23031635014916943,-0.1159836192925539,-0.03305562924878718,-0.0475117029610743
player_season_pass_length,-0.03536418346636376,0.04263091673257002,0.17763789509607306,0.15628123690804105,0.2210761157333028,0.09411386187735368,0.14290361928230375
player_season_pass_length_ratio,0.03664903812864642,-0.22776012069052143,-0.0026894449451632524,-0.12252981536966678,-0.125318387969536,-0.007831488997801853,-0.056277864252880304
player_season_long_ball_ratio,0.026588979213498065,-0.23592287869046383,0.08950833530185609,-0.1289947255698679,-0.06035657234721364,-0.008759817540215376,-0.01167157888451445
player_season_long_balls_90,0.059303706167104675,-0.08012636016696278,0.25595718985616545,0.014573217607067923,0.09411801705476174,0.05105096562371415,0.07122049128398279
player_season_deep_progressions_90,0.1404434208901053,-0.03983216510362397,0.20768650744296413,0.04305893642187367,-0.07715855920009783,0.022783429635956254,0.048735022824867184
player_season_op_passes_into_box_90,0.1537209118735553,0.1694002834800632,0.09608770070814947,-0.050551249733590375,-0.04992417994979505,0.009726109762635882,-0.09646631602706612
player_season_passes_into_box_90,0.1519041979869776,0.17970510787024851,0.11376302291762588,0.024348999840258123,0.12632333260454465,0.0057651135003171095,-0.02227225726001436
player_season_xgchain_90,0.17126337749225437,0.006312372935531694,0.11529677448804616,-0.10177679302756507,-0.005340292758489129,0.14796980120433736,-0.1190269694889424
player_season_lbp_completed_90,0.06459321469036473,-0.09421343427393658,0.2584433732299109,0.002765982166112166,-0.056852425327856226,0.08130863631092941,-0.04898423338683833
player_season_lbp_ratio,0.03420646009083951,-0.20299077042304056,0.12110379699437154,-0.13144174365986927,-0.06241078059318958,-0.015305980388024387,-0.012536487360362947
player_season_fhalf_lbp_90,0.16138556855374808,0.04138724247763449,0.1728438024488877,0.06625902608594036,-0.03810519243470667,0.051947373916838124,-0.05673085796472471
player_season_f3_lbp_90,0.1363052688003297,0.17422571633284487,0.07749444495688797,0.01350498039769431,-0.08319337113238488,-0.0033328718768355636,-0.09379649451889188
player_season_obv_lbp_90,0.06734809912382883,0.10136793656203814,0.19155355091955784,-0.01507732267051236,-0.06415627153964513,0.07981967369280019,-0.0925174576538009
player_season_forward_pass_proportion,-0.14530980638028632,0.16273900637826624,0.04338207664952218,0.15713520690000404,-0.01667367097810824,0.09529934266300376,0.0060679530809771565
player_season_sideways_pass_proportion,0.10765254153954654,-0.2097781326423987,0.034046967142920166,-0.09092451741157596,0.04930059800705791,-0.04632553907714408,0.030496152072271132
player_season_backward_pass_proportion,0.08332386902633371,0.09055952097974392,-0.16036937758475278,-0.1393955235906995,-0.06521145609658115,-0.10046902139865738,-0.07520468733752365
player_season_pressured_passing_ratio,0.08506207495165198,-0.18984918636798642,0.09176480284510205,-0.15438321773164218,-0.01567360914206697,-0.09350080190118057,0.0867584614835238
player_season_passes_pressed_ratio,0.09798425597201295,-0.13323218808049375,-0.14764606685807513,0.08875737951884513,0.07690772814454752,-0.01556635008900448,-0.003350111263516165
player_season_change_in_passing_ratio,0.11768861896146036,-0.06008328983029277,0.05005204356556477,-0.008612769731131275,0.08611396191683084,-0.10678728291526238,0.17501974287902233
player_season_p_pass_length,-0.08105095365538588,0.06708924625657109,0.14219539014140434,0.013052859010109842,0.032257504106308524,0.0671158080699628,0.00021149207713747195
player_season_pressured_change_in_pass_length,-0.06558312634651661,0.0390305878943032,-0.009338675840782492,-0.15111383912529627,-0.19540303615762594,-0.014891300920815127,-0.1524766886487491
player_season_obv_pass_90,-0.01196047919322418,0.22048324461793095,0.16356817136238755,0.06433786932832052,0.0065306020022504446,0.07420981836790544,-0.05444253373007194
player_season_op_xa_90,0.1579843435249183,0.11829321047478282,0.0408378595512744,-0.052569338775418174,-0.030179114751427913,0.046203866334486414,-0.12797990890911834
player_season_carries_90,0.13639401183247982,-0.08923604942943911,0.18200888366310766,-0.08486012907922934,-0.17684287398720314,-0.031824092760107565,-0.021386057062834325
player_season_carry_length,0.11739568055171308,0.05845603165174489,-0.06893657441417127,0.11820592935732387,-0.1500903139940495,-0.1332842751875674,0.23491138904266792
player_season_carry_ratio,-0.12134326008302761,-0.09969384390621777,0.2021272449752271,-0.15225920341519425,0.08318972730235508,0.15132225981535816,-0.07202259964326871
player_season_dribbles_90,0.1496272803220833,0.04774904507636783,-0.016616051887492062,0.11829798846203662,-0.18504788807911587,-0.15759000151790936,0.16244253653737523
player_season_dribble_ratio,0.0015788329125110531,-0.08858327035014903,0.09571674924737134,-0.024278720276979242,0.054089129980964885,-0.01580315364074439,0.018282660690633643
player_season_failed_dribbles_90,0.12970065010773926,0.11351469935405255,-0.10179405221736453,0.10717561498974353,-0.20915467048811198,-0.15502954512574368,0.13209699180417087
player_season_turnovers_90,0.17117054550513244,0.08245482519678735,-0.13426920315616211,0.09446046505314065,-0.16183904155887988,-0.13188197333402962,0.05672411773663054
