,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76
player_season_passing_ratio,0.007094399155595031,-0.22764052934582987,0.09413441476338444,-0.23031635014916943,-0.1159836192925539,-0.03305562924878718,-0.0475117029610743,-0.0173433296258917,-0.029086441961450292,-0.09438804766660862,-0.06392480483679334,0.07917671192719024,-0.022819012088171175,0.02402130960180388,0.07569459290818938,-0.055895963034412084,0.05578049142714517,-0.049647275552710486,0.026031301186179464,0.027816195279372298,0.01768918058963006,0.04373997699965153,-0.03774493582545842,-0.0044999453159987705,-0.0011446289547014804,0.053843375822869036,0.032448895929727745,-0.023027112001186602,0.044819881720799946,0.035234383317602876,-0.06862514966837205,-0.0829234920473477,-0.030166548895281864,-0.02823274561054103,0.07795709568186905,-0.06688599254400535,-0.011422114051922958,0.11224968377338954,-0.041872012472856435,-0.06591369622380924,-0.049885515848046035,-0.15315528415384716,-0.188539392270486,0.08644117459582724,0.011390202143665039,-0.024065888763035358,-0.04448679918150325,0.08406948543656284,-0.19619906561313383,0.1636851131467492,0.06101562936432466,0.03709282872234575,0.07351696048841318,-0.121637988991824,-0.08714828363380525,-0.047091332477056554,0.02514469523372347,0.09127240610722454,0.3799086289101568,-0.21243244639625158,-0.21954780455164805,0.2388164196479812,0.12562115819704955,-0.03710659818175312,0.1925363519922551,0.05865831878304052,-0.05839390670788318,0.04419528797333586,0.04754930770379913,-0.00699523765946986,0.03357430146753952,0.053282674215990124,0.02999478760486933,-0.47261770582964807,-5.159306114436307e-05,0.04004206628417508
player_season_pass_length,-0.03536418346636376,0.04263091673257002,0.17763789509607306,0.15628123690804105,0.2210761157333028,0.09411386187735368,0.14290361928230375,-0.10929766487015655,-0.008729583072457765,0.22750456556214205,0.022210240141286072,0.17842826748957752,-0.0438863168764826,-0.10207587521775514,-0.13168574178615877,-0.02294554644895689,-0.045318663703195844,0.19517258889410066,-0.21170479532402836,-0.04855944761364568,-0.023050943677005633,0.044760811679971646,0.23002596770034792,0.07964832941682765,-0.09492564333717343,-0.13492213694175845,-0.017824818227120114,0.08894558458262257,0.026147866556450274,0.02947559739568786,0.012190688822672564,-0.0009347990735593843,0.005012787571739287,-0.016464303826256473,-0.02440809150735342,-0.0011261174153596835,0.03288343664260918,0.004463409708110072,-0.016457907714049,0.052300435194679556,-0.14928854916511516,-0.005873717135573546,-0.02413111316689636,-0.05355335918611674,-0.04136603173996535,-0.021740549499371386,-0.1508750020829323,-0.07209747144725989,0.03437208690428689,0.15317129341553817,-0.1528279646876168,0.09470453216511085,-0.00760603230218292,0.04366326374303217,-0.02007464363673818,0.14035345544317587,-0.012292050570531829,0.011518650469423922,0.12743606843432986,-0.1180819339890068,-0.15707162935427646,0.08671790740676258,0.08980698730003889,0.11407574812244456,-0.12254147770115992,-0.04592225968706984,0.007116108206578389,-0.024399009227728117,-0.008701564705640867,0.0706180411629927,0.04045481785420474,-0.013141055945276042,-0.5460805526103072,-0.04075631156342724,0.024018763621932327,-0.03797011795227798
player_season_pass_length_ratio,0.03664903812864642,-0.22776012069052143,-0.0026894449451632524,-0.12252981536966678,-0.125318387969536,-0.007831488997801853,-0.056277864252880304,-0.0016463464412839746,0.09335852257330565,-0.13840721208723258,-0.009433053642999623,0.03440212083486173,-0.115450553982173,-0.0051285774757708,-0.04738129730175743,0.07729765445922243,0.17497656293330224,-0.02308327880239533,-0.1027931564103474,-0.09523952625456701,0.054267959763850494,-0.07496085877335917,-0.013068233041487378,-0.002487318064501427,0.15965180037877313,-0.12543917954110567,-0.2598534145664884,0.07900539597718918,0.20464546148152446,0.013748015314298973,-0.06496374999661034,0.14008326898948092,0.07995988405875828,0.05805707399655078,-0.12881571011581872,0.01606070316698392,0.009582011557187749,-0.187378651212628,0.11223906112755389,-0.06921491672520817,0.19229474453806183,-0.02695111240644616,0.2128404039741358,-0.1725186880748856,-0.006610327822402075,0.15546633318028805,0.01978393259545977,-0.0665219418554657,0.2589738422067763,0.024379702712714307,-0.13576756647515353,-0.07291238533296451,0.11015712749008397,0.07401012864920024,0.1536443364161368,0.261776235606405,0.01322907296668099,-0.1905451628633793,0.09386609467125401,-0.05083217501459775,-0.024583933554236874,0.020563067212494124,0.16560885181536658,0.23559258803994934,0.2384281063085762,0.08788428555880815,0.004611737654845989,-0.011642545821254967,0.0024720394721996324,0.01168031745480059,-0.0513568990035219,0.0019143777564746903,0.005244499340917273,0.00795828338928481,-0.008385297292889378,-0.0028092521107524193
player_season_long_ball_ratio,0.026588979213498065,-0.23592287869046383,0.08950833530185609,-0.1289947255698679,-0.06035657234721364,-0.008759817540215376,-0.01167157888451445,-0.04032185602690003,0.058787746276700095,-0.09141128655115471,-0.018384764672922188,0.11447150868209581,-0.08272274966541589,-0.04120639984598162,-0.06770384626457568,0.01844927356088058,0.15592315559457026,0.050589383571240584,-0.13915307690496462,-0.08366762611085798,0.00499901644554708,-0.027483107906204507,0.06635149231082474,0.034708163721033275,0.10234117628946914,-0.10080465710079094,-0.2414722596898359,0.1038414259023057,0.16663407799106641,0.01615235055183644,-0.17844566478396548,0.060894018858578564,0.10139699809541444,0.04955289717380859,-0.16563723882029902,0.037329038458753794,0.053666042212854946,-0.0981610524187289,0.11182170219918317,-0.03466956582444457,0.1118426553317788,-0.0015238485150363343,0.020995952409477492,-0.04259329675793976,0.05664464146857967,0.005800052366569352,-0.0020843117752275195,0.0709887973192699,-0.16939892782993135,-0.026122306071298444,0.11993924285313735,-0.043674878181252784,-0.11359682317977104,-0.042330463097635405,-0.03777988818889944,-0.27434790656774255,-0.0389941226673741,0.2002344712142035,-0.00727281971404245,0.03699819104633651,0.003863127180571989,-0.00019832069711871875,-0.199734930318287,-0.21374365565482045,-0.4674233142352914,-0.2631729601037547,0.054933257799200295,0.06742690687354756,-0.004395474359637453,0.031023032435320053,0.09360930188000469,-0.0049234427405154615,-0.002479232488171723,0.002100559581929201,0.015060940181022879,-0.0022905447312133245
player_season_long_balls_90,0.059303706167104675,-0.08012636016696278,0.25595718985616545,0.014573217607067923,0.09411801705476174,0.05105096562371415,0.07122049128398279,-0.0865757292589498,-0.008485859188023179,0.08807294695038057,-0.07434290264274852,0.13344441415390945,-0.07405759938414307,-0.026604751079771477,-0.10297610468553203,-0.016094905369096357,0.04241486121372011,0.15870541328822085,-0.13023783777054904,-0.02158231717707676,-0.10279399132875586,-0.001418352060181094,0.16502503663880413,0.10530540963172906,-0.007616024904808127,-0.17748877333047575,0.04603642321817597,0.03888578024184042,0.10366443637498912,0.09458785105252823,-0.058634801527025694,-0.03782529215926385,0.051019357458513014,0.03326093429437438,-0.07974042885485527,-0.00015973349944262139,0.11750493888991374,-0.006801811193753629,0.027157397839152338,-0.019062413035579068,-0.030132536308771225,0.06103353707823046,0.030878398065836435,0.21412382489145354,0.11241194045635076,0.020646051006339136,0.00441379957407002,0.06433915306910262,-0.15091206706397242,-0.16739567339745237,0.24332568975962432,-0.09825962348468961,0.051479225026655195,-0.08069962046234838,-0.07095462425301417,-0.13947705457608467,-0.04824217672247823,0.06774082414849597,-0.19184953709273933,0.14687974505044668,0.21933285879494147,-0.10096409322932015,0.029200953717943665,-0.07143941545526857,0.48372774174694105,0.22826494975961814,-0.0871694116888466,-0.07607888636061985,-0.016652892813968093,-0.09462791567708895,-0.1140987971147558,0.011352314453847007,0.009118226026224458,-0.01097939225548536,-0.018503570426303746,0.008711453520959186
player_season_deep_progressions_90,0.1404434208901053,-0.03983216510362397,0.20768650744296413,0.04305893642187367,-0.07715855920009783,0.022783429635956254,0.048735022824867184,-0.041765432470616384,0.05300302545676896,0.05751219818132451,-0.11587745656546958,-0.13849803657388177,0.003956712418987655,0.043110253546349085,0.0336178630401119,-0.019795698573154524,0.04848368978966132,0.07476410099724119,0.06302501320880487,0.13642965590712325,-0.08624502098822609,-0.013431152662878941,-0.00447822911205549,-0.11448322475158527,-0.01095306360949281,-0.18770674447040775,0.17246292300831545,-0.03143976564913207,0.12418117460656206,-0.05260768207518904,-0.17554644556079518,0.0010583930733101543,0.08476790009543897,-0.01914154933410646,0.1594894160529965,0.1378411414231897,-0.020191714096295922,0.05357041716405542,0.07964163388843899,-0.19811600644060223,0.11411889087933696,-0.19335521826802232,-0.037510380531528456,0.10442525539530981,0.02214482823229328,0.05103732638976477,0.22363969889633373,-0.0015738934527981877,-0.04903619373238442,-0.08422585447736111,-0.1256484896552731,0.5209281272460714,-0.1448230466095572,0.04491762394143821,0.07805807178972277,0.2613978812886736,0.21074505435361765,0.030451436892623703,-0.032775496506431565,0.0009258801287943957,0.10317019918080644,-0.09710509231068729,-0.012386005016195759,-0.0648723368838828,-0.015292061660251134,-0.14430240650070658,-0.03712378777650839,0.0784122787673462,0.05879120900076739,-0.02598340214431336,-0.014806829682644497,0.0059244778040821,-0.0034835701706301975,0.001944791482036884,-0.0048536802725169985,-0.0024447092104800533
player_season_op_passes_into_box_90,0.1537209118735553,0.1694002834800632,0.09608770070814947,-0.050551249733590375,-0.04992417994979505,0.009726109762635882,-0.09646631602706612,0.0907282319787164,0.0348480207370129,0.003008940718031372,0.054162747967317904,-0.034086192674544435,0.08447948898986879,-0.02381407168250927,0.0016184458190061923,0.061343809135359875,0.036999368718051755,0.03494314955856951,-0.06001620007752991,-0.07006026388671416,0.0008723086692036114,-0.09656472558985058,-0.037745017598763406,0.0900310964201058,0.0977363553727438,-0.006542336833834664,-0.0677903562376748,0.11020927392527068,0.06924553118309579,-0.22311308073083552,-0.13543089757145177,-0.17548992978075437,-0.008506480434607458,-0.02643671140317553,0.02572193096812475,-0.24930490654685952,0.028249039652255684,0.024704801245772706,-0.21054136887327612,-0.047976116443853606,-0.08744549284064462,0.058591286896639755,-0.18731634850511414,-0.03661214234126396,0.38827747762465614,-0.13824012205779387,0.038691172407728444,0.1266614318199937,0.06280199252038264,0.07521740676211919,-0.1086790421871397,-0.06686256734507222,0.039533401348801386,-0.15320475139123574,0.12141120272280313,0.1478315641449337,-0.08375208059083027,0.0860041581567454,0.02628731825873862,0.03975445839642243,0.10756578504911893,-0.08059575479458612,-0.08697551254424289,0.12735013067090117,-0.038982425634243985,-0.014506697408629459,-0.029453816592487275,0.012171461791328038,0.02850814120064629,-0.013490100802798388,0.008031814510356455,-0.3371033952482995,-0.008115610756843146,-0.03281813105072595,-0.35682583265500406,-0.021684176111957647
player_season_passes_into_box_90,0.1519041979869776,0.17970510787024851,0.11376302291762588,0.024348999840258123,0.12632333260454465,0.0057651135003171095,-0.02227225726001436,0.0047864157491118026,-0.10317912808006574,-0.08222940610239134,0.0030846079613272015,0.0034249226886921003,-0.017509829041640904,-0.010349111128296007,0.021263900523685347,-0.0014707347796195647,0.050036023411027225,-0.032961272814430176,-0.006803000412046539,-0.014360026064072995,-0.0026374689218430294,-0.1626233392377373,-0.09059221111308266,0.05921721295189402,0.10894937921862353,0.00544038261226628,-0.08022701326557441,0.05172442453834678,0.11892293055701589,-0.15623522661265296,-0.0654219861789789,-0.10662615466502247,-0.03795682183884346,-0.009783015296265792,0.02944510851601858,-0.12759328960913996,0.04473156334987884,0.034629900435050896,-0.06205918792476893,-0.06201824999810293,-0.02608167963128009,0.07892454023618442,-0.08648573103570537,-0.017466526952126207,0.22829604159498196,-0.06968925532762572,0.013517245020483251,0.040150812332996944,0.058039162434773195,0.07638659259649067,-0.12487652092896201,-0.023093440783450422,0.11404970093087653,-0.15703425817291608,0.014621384414908727,-0.02560712205364089,0.10551037428822369,-0.10985070635495107,-0.06353285496572873,0.0018457271646902668,-0.0045700359409861675,-0.020136923188266348,0.039087532275186854,-0.06260789146895859,-0.020589804980908677,-0.023411939424185863,0.008527337347014016,-0.00836027298852867,-0.020942261428596686,0.006138143875998324,0.02508481600461527,0.5082883559244434,0.002041866135225976,0.04299880835941586,0.5618924487935711,0.029787150713051085
player_season_xgchain_90,0.17126337749225437,0.006312372935531694,0.11529677448804616,-0.10177679302756507,-0.005340292758489129,0.14796980120433736,-0.1190269694889424,-0.02019322579014493,-0.006600956142437553,-0.007040918589595879,-0.10494638016735365,0.07859019495003713,-0.09626665778225064,0.03683755277432556,-0.03076138325259478,-0.13591797000653616,-0.0862772991454395,-0.03971131831334182,0.0562561212429058,0.009662232646035676,0.009305006374245056,0.05149337768537972,0.1154952310603698,-0.03883542044227266,-0.007219929375063645,0.12519734592748663,0.09655533985454602,0.06130408935696588,-0.059788343103843275,0.024046771397422832,0.233722932303629,-0.13014606032720244,0.28081716509865406,0.2750052097392349,-0.08731110637905005,0.0938923162210339,-0.33673008110467467,-0.03824270762621667,-0.013402317584937058,-0.13688742707921359,0.13149202881320612,0.2436401369472741,-0.22059102283396745,-0.29867284378150927,0.09533075591791805,0.02127002197458678,-0.15277631707741424,-0.096638696571195,-0.19210290477874387,-0.07322745670048184,0.05485691012266606,-0.017096860514291573,-0.1224761369662184,-0.009605305982269857,0.10151411517709732,0.10701061992280278,0.00890321512595014,-0.16620155306876985,-0.12140197715023109,-0.15383426058313904,0.041116549985830406,0.09452865823009118,-0.026308977371735716,-0.0457069063773099,-0.015396361928778114,0.04134161282747064,-0.03100076810531713,0.03417287483297481,-0.009775924496009166,-0.013686384642688355,-0.029791687376718085,-0.008060671413861659,-0.00483254366852813,-0.0028620927938386997,-0.0069258550876565355,0.00359281142917775
player_season_lbp_completed_90,0.06459321469036473,-0.09421343427393658,0.2584433732299109,0.002765982166112166,-0.056852425327856226,0.08130863631092941,-0.04898423338683833,0.006847528776872044,0.05594612562873799,0.061510041772879505,-0.0029165021870455055,-0.08955420487951618,0.05758136494693733,0.04064422693231605,0.13061622513382434,0.006510589115244769,0.12970523907558917,0.12970174063986564,0.016402711001976954,-0.0657200147040756,-0.05934937395127096,-0.10389576415708619,-0.08036045049269261,-0.12589037050528118,0.02049877406749248,-0.05888507032475063,0.11548958105939856,-0.04737142560507308,-0.10558477176200795,0.14229711679459706,0.09976929871104426,0.052472970115504364,0.017795978751143603,-0.09473598763406667,-0.03817420534522503,-0.0029703145481328463,0.07691984195267695,0.16964985643207836,-0.007290149136280781,0.1973575600317983,0.00741873081603411,0.1698437173588059,0.07594929106518945,0.04748748817983998,-0.07457231359380834,-0.2463093375103935,-0.17740778359861245,-0.03646420273636071,0.07742398588646851,-0.10972838950337178,-0.02150327491844365,-0.10833351096280314,0.02087780205665428,-0.06336274880914562,0.1653192564460211,-0.07587809117027859,-0.03657189438625312,-0.17693029136952693,0.1433106845935647,0.07661540399144179,0.05765139092713137,0.08011290499859532,-0.029838434713972014,0.10226855576410902,0.05316316183131891,-0.3182841905011759,0.14836747867992878,0.38457950619688575,0.15627828163071486,-0.231725220173587,-0.10163463922559408,0.03653195622832161,-0.013765340752183865,-0.0010286437413174476,0.0002492390588571811,-0.008341741511246899
