,PC1,PC2,PC3,PC4,PC5,PC6,PC7
player_season_passing_ratio,-0.10449215606827883,0.14821478184036446,0.11669080242267901,-0.28124934005153207,0.04707474558905404,-0.045678249560394645,-0.025071171230424873
player_season_pass_length,-0.0063309703733857026,0.15430536000447326,-0.14668117879100484,0.22221564265626575,-0.029113808038119388,0.0007920911397812577,0.09179630803582146
player_season_pass_length_ratio,-0.08004595121749036,0.038175191493863087,0.22149530988118443,-0.22448798806720005,0.028356718212705634,0.011869162437245784,-0.02211814754040161
player_season_long_ball_ratio,-0.09270590638432374,0.1352069847475178,0.1515335483043868,-0.19929375462485097,0.005749234528901137,-0.010070119320759463,0.005048962653326869
player_season_long_balls_90,0.03335567344147773,0.25075087987135397,-0.03130869981528456,0.04637526334204142,-0.01436934061875103,-0.049192728379636536,0.01526951992492663
player_season_deep_progressions_90,0.13490200377943554,0.207220273328996,0.04916066924838303,-0.004841196840523171,0.04941821302377253,0.06274645967626297,-0.02581027017740925
player_season_op_passes_into_box_90,0.20232012631947183,0.07854345073128755,-0.041624605550467875,-0.003843405053379323,0.03389150895293129,-0.014361784075151929,-0.0780373971150451
player_season_passes_into_box_90,0.20422579325321982,0.0760380544045815,-0.11369329904200892,0.055907436139302324,-0.03848959698652421,-0.08612910626029169,-0.0006768832604725078
player_season_xgchain_90,0.15324922867107396,0.1251941711719904,0.033207776017853574,-0.04055599311723767,0.09712600842185626,-0.1209392720728298,-0.14722437890827272
player_season_lbp_completed_90,0.022717690711778243,0.2591724530832393,0.03918198718658228,0.03556800425288559,0.0804850311556452,0.0029502423730988214,-0.14066197663241148
player_season_lbp_ratio,-0.05627712508907959,0.17950488528221278,0.10638631654506685,-0.18436529897620219,0.03380010292788771,-0.06077596121591877,0.025161181726926843
player_season_fhalf_lbp_90,0.16039498252681572,0.1613858207246796,0.00990614724220071,0.06859745620318573,0.051821616616691324,0.04489247922504819,-0.14080705659581114
player_season_f3_lbp_90,0.20680216581230668,0.05611932286518466,-0.010222339413187818,0.003917888640663954,0.03420947864858709,0.02530151402820363,-0.11278435212768045
player_season_obv_lbp_90,0.09535011242491805,0.18555670265722046,-0.040168930868006686,0.055699912089832174,0.09694856539447047,0.019197027316152276,-0.12034032715990628
