,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75
player_season_passing_ratio,-0.10449215606827883,0.14821478184036446,0.11669080242267901,-0.28124934005153207,0.04707474558905404,-0.045678249560394645,-0.025071171230424873,-0.029061672032482305,0.01128785030335573,0.047115790467927576,-0.0539683399067502,-0.0012575796633689197,-0.0016957018137803933,-0.04779359953866372,-0.03349649311574665,0.010297272557644514,-0.01042037096338988,-0.012685976874117575,0.003426074204849348,0.04018430387143045,0.0897650087388446,0.06115233114958511,-0.021500801237745074,0.09392435970128966,0.05038707531390011,-0.011660804910106305,0.05190331784718123,0.028142595336146246,-0.11202647103416562,0.06578635931797334,0.05462313229040788,-0.017878020392686985,0.09635927914913736,0.06762010414816791,0.036156360767801904,0.04026411313444707,-0.039729695731043,0.07143041198068129,-0.10197519259128929,-0.03690731241551382,-0.04116374660400526,0.010980369632320778,0.14293583610272645,0.07671882025917551,0.20275615886929832,0.12431794390372394,-0.06999841502198126,0.13034407431863124,0.21677405232800295,-0.016157081490679258,0.03787392511378407,-0.013696506612517272,0.023734366678317603,-0.06847839284759119,0.2353582902139115,-0.09030945789724551,-0.15967328319263188,0.01623767834262237,0.2981465080085565,0.4059229055204407,0.01621773651058782,0.03110113937075467,-0.030784729174660415,-0.06901255232196456,0.06368353119287068,0.02724953430161661,-0.003443592690434088,0.000325139371978605,-0.009710516346093151,0.015915235353943707,-0.014918511796688669,-0.1540042006254464,-0.38505920819272227,-0.29239744048524563,-0.04248948570233105
player_season_pass_length,-0.0063309703733857026,0.15430536000447326,-0.14668117879100484,0.22221564265626575,-0.029113808038119388,0.0007920911397812577,0.09179630803582146,0.08001446472962002,-0.24155322987233016,0.006654089311007598,0.1368313362465905,0.14806176466915677,-0.01075213277765969,0.04285405341513506,0.018351739636123736,-0.1498695626923089,-0.008877693487494889,-0.1502167734487101,0.002128402207945639,0.05412174468162978,-0.23575215672390312,-0.11879137797214805,-0.002417094406278919,-0.17200424716357168,0.15711603333427596,0.16328660973460274,0.016950895012213564,0.010567542055757943,-0.07109503898945366,-0.055679734216239105,0.036889354555253356,-0.03916917135039998,0.03213581548326959,-0.03561332745448939,0.03606099908321479,0.07945934755262829,-0.05533729210399478,0.013054436901644609,-0.022012239051136664,-0.05653483436270809,0.08842051188949612,0.04371327034297538,-0.048293026095630257,-0.014556175895241347,-0.0059342203240617675,0.05771473985641365,-0.07767856112764493,0.1116172172080161,0.05546975029386472,0.09683643532010322,0.14377653455967304,-0.11504531792697845,0.07057753278124748,-0.0371752101839139,-0.008504185313115267,0.06689149627536084,-0.105209217209418,0.04836346862100938,0.029574290092356736,0.12161408447465372,0.0600082228782215,-0.08067297141182608,0.11194720163684369,-0.02050744361924351,-0.13923667970478956,0.04451228222256908,0.013924608960442737,0.019336158466113237,0.02617016279223312,0.0034656067263820712,0.008094498813440603,0.12974882336964702,-0.4013988067766494,0.464303203461071,0.03920016222885841
player_season_pass_length_ratio,-0.08004595121749036,0.038175191493863087,0.22149530988118443,-0.22448798806720005,0.028356718212705634,0.011869162437245784,-0.02211814754040161,-0.17815414197309604,-0.03350907015208261,0.1529320573860983,-0.026240125335148842,-0.09630130727645186,0.05229831617314138,0.07759095131514154,0.015543834403845765,0.11419046157925622,0.001314363787242566,-0.16696073207480053,-0.003949558926398544,0.18247439531491358,-0.0990325263242118,-0.03477907756834041,-0.10497982607637318,-0.1539532839329901,-0.0014448322227099634,-0.029022380826676967,0.13056498819706014,-0.1436093560451611,0.24885293045106896,-0.047662838632395774,-0.13365005310609654,-0.00450015883426986,-0.14745469996368926,-0.0594658525920115,-0.018446356966251392,-0.05044307372436809,0.07587583787669783,-0.15636871081349613,0.11957794119508784,-0.16907083989891797,0.06216673678851592,-0.07057602417076406,-0.17402785352534547,-0.005990670372089869,-0.21403027305988565,-0.008506218430276102,-0.13913752495953283,-0.14061381047689459,-0.04565378467318899,-0.035574671451941764,0.08761356895057652,-0.0114340696584036,0.14610886834219125,0.024153432346419527,-0.076333331967451,0.2569678769156718,-0.33190703897672397,0.10787791911635833,0.04008714470330352,0.08128312598363806,0.16954727197708566,0.04739470912797621,-0.13499463873770348,0.18541543311202485,0.14252900330320528,-0.04470354794224632,-0.0730989995085395,0.03529355970404868,0.023717000489507086,0.029489123197200734,0.03355342998256411,-8.825295001877592e-05,0.0034741963829099387,-0.0011999182063826969,-0.0021607252832072255
player_season_long_ball_ratio,-0.09270590638432374,0.1352069847475178,0.1515335483043868,-0.19929375462485097,0.005749234528901137,-0.010070119320759463,0.005048962653326869,-0.1196792673132496,-0.07073375022444686,0.18224120985561099,-0.08558638962314997,-0.03628861679120647,0.03936956741901374,0.06308630405339757,-0.037056313886631595,0.09897281761125332,-0.04684936218850051,-0.20389566435955697,-0.010029898586765165,0.17511818397869222,-0.10384404821180813,-0.10704873484001626,-0.10491418751652186,-0.12298705383676842,0.08028435597204459,-0.016257522069599524,0.1231931599031994,-0.10491032718673185,0.13457576376993424,-0.14450314134702308,-0.09607083449477764,-0.0027754743309379047,-0.13480708376710274,-0.1349582037165606,-0.21968822648403502,0.030711562678299303,0.07288716759147575,-0.06414029353154939,0.08840659977220948,-0.05937943813871149,-0.08281317682258925,-0.08993032787130917,0.07630633598428635,0.09197203546530285,0.16024029625430894,0.05609378041885778,0.08295971910251596,0.055229901560037785,-0.03277652516336232,0.06937466418574967,-0.15682169876203816,0.01896386298411925,-0.09638884087932174,-0.03939842145898371,0.028770126981829094,-0.2267341873486515,0.2883321440676249,-0.043534543222147525,-0.0021212189537907697,-0.11389672276029679,-0.1803597182430888,-0.025132291618331696,0.23088719020389398,-0.2702997368202245,-0.30579942516043207,0.05760637281840244,-0.03500231809031721,-0.0543440226048213,-0.022262882132707638,-0.01360024753298073,-0.019734860274972184,0.003665193713154845,0.00973829368820961,0.018924468383634076,0.004821259770342663
player_season_long_balls_90,0.03335567344147773,0.25075087987135397,-0.03130869981528456,0.04637526334204142,-0.01436934061875103,-0.049192728379636536,0.01526951992492663,0.01119691531962691,-0.21108867553852895,0.029294355587094922,0.03553871567921363,0.05635421644728985,0.018017486283179035,0.06587395287576955,-0.04503762503497559,-0.07405091078970541,-0.025588355835127127,-0.10920176887663163,0.003613724902926033,-0.04534649977419991,-0.22984812907667473,-0.13179620239840606,-0.10306393367157753,-0.11442273295924738,0.12859321051667577,0.0385365671645516,0.14653010072398126,0.005792955530441367,-0.05309214306631399,-0.03759823651207092,0.04506892887346334,0.03667162896051202,-0.055108382455181876,-0.02570270106868322,-0.06507693649350302,0.05296147511993422,0.06268147046394142,0.1293071033911194,0.0001906853055207436,0.0793698678438425,-0.17081692734371137,0.0900244944921752,0.1320617211619517,0.016845540818826953,0.008130434806903022,-0.026792928338092117,0.17484267100380105,0.06781469505783735,-0.031546276645685385,-0.17430473363559756,-0.18007194699480394,0.0408566228407338,-0.1286891724482601,0.0853085210878358,0.09206464305589473,-0.09058236602792494,0.12337687400938499,-0.04907714033504702,0.01417736898264145,-0.11273514255790752,-0.07574995965919229,0.17589438893091233,-0.3294647778402215,0.22674507082052212,0.4668270688630359,-0.1413733920490169,0.05536732490824729,0.03701373608693154,-0.011206423629102074,-0.03313517446346371,0.06754750746707927,0.009431253439716583,-0.010637845026691406,-0.04273334264214901,-0.013628919549637412
player_season_deep_progressions_90,0.13490200377943554,0.207220273328996,0.04916066924838303,-0.004841196840523171,0.04941821302377253,0.06274645967626297,-0.02581027017740925,-0.0682972746184535,-0.0272112221984293,-0.06432562216016949,0.014887143112746734,-0.049605040861892304,0.021081956913184572,-0.009460486914039952,-0.13050376396507776,-0.02899167513404159,0.028560841370540685,-0.060127564444479496,0.020976248993168602,-0.02786659116118982,-0.09246513150754324,-0.021914825838854166,-0.006047865596411284,0.10974869711769258,-0.08603716885040565,-0.03868521924038118,0.10177083912869665,0.19108624784083883,-0.04086141151515249,-0.04666057906569888,0.005330672427507982,-0.005986774930709583,-0.16195487575855802,0.10932321051798982,0.04005810012987112,-0.15574116139969443,-0.11938436723031443,0.14468373475455948,0.03450330897695106,-0.12007894438548031,-0.07849269394136768,-0.06724124590641674,0.0892639948873228,-0.13435467455045377,0.08515272194083409,-0.09969188888686499,-0.013432263469029135,0.10197633589090946,-0.013424906547997911,-0.02488853867266674,0.16189948838306395,0.4485014331919682,-0.11445261074900553,-0.028565189115404965,-0.24238765256753472,0.2579698530153313,0.05993316782455148,0.04681218893732356,-0.310844211418086,0.2902879613872793,-0.15363931266892322,-0.016611795755563312,-0.00856147684011343,-0.08505160963750799,-0.004608231777648245,0.09262676798458801,-0.14445485538579028,-0.12359457635099771,-0.010312762519679233,0.048771486427923325,0.01778887114120076,-0.011915637900124565,0.006253977888167533,0.0016333227540671902,0.005045786254968713
player_season_op_passes_into_box_90,0.20232012631947183,0.07854345073128755,-0.041624605550467875,-0.003843405053379323,0.03389150895293129,-0.014361784075151929,-0.0780373971150451,-0.011980367008373266,0.06571930981318466,0.0312059742404166,-0.005687954392505745,0.027981565488322587,-0.06960122784481795,-0.079806840054283,-0.0245596567392994,0.15110038371958104,-0.027803361027487566,-0.0653118685544994,-0.010883232443375898,-0.03974415131108316,-0.10664182839496827,0.08839342131997446,0.11810359867377651,0.0034913868427243686,-0.016215117547702197,-0.0193140191675232,-0.01051916687294122,-0.25136423672235597,-0.027678921600612208,-0.22282420797618185,-0.0007215252463762534,0.02016928846502044,-0.014151774830103658,0.10103828670617516,0.05820111349132954,-0.03086290126506285,0.14608629514176333,-0.07798444820992945,-0.1800453930738064,0.07315117755601226,0.15559556703963692,-0.006434159972569504,0.04735348467978187,-0.07958945248248961,0.08308387258052383,0.14758793100173762,0.007600702127729918,0.0654910444004429,0.49572867458723285,-0.032002239575081186,-0.17924717240531401,-0.02025833988527624,0.09773091081240308,0.010674179767404144,-0.1841860140074589,0.1083300568489147,0.043369037784667816,-0.010983549367175025,-0.07130810214878917,-0.12104938677101022,0.07897156088860326,0.008019315155619587,-0.1059087127003535,-0.028909279578439542,-0.021258529546307012,0.07555176959918807,-0.040863531955903545,0.02839274690088618,-0.03788747918167206,0.026004691404539496,0.03687997499720925,-0.008763959088729373,0.017727543925571354,0.0527017532750996,-0.4608291101581494
player_season_passes_into_box_90,0.20422579325321982,0.0760380544045815,-0.11369329904200892,0.055907436139302324,-0.03848959698652421,-0.08612910626029169,-0.0006768832604725078,0.10814948631605735,-0.03542721686536318,0.010575581223774083,-0.06674719484471636,-0.0401831530714326,-0.000865443241109369,0.005005038653939892,0.06282000102102053,0.0674173403999428,-0.011286322562925104,0.015366254328961392,-0.022368338648342638,-0.021417346337857246,0.014856980532110764,0.06853022151399338,0.015115443905089468,0.00857028040624866,0.00637975673704861,-0.12725460853071932,0.11949099836688232,-0.17183303377651507,0.05006902229069312,-0.10089872639255446,-0.01186307985894191,0.039601081562014355,-0.03856291200482298,0.14549063222519826,-0.0471391796341342,-0.012945635615724038,0.11086755817652483,-0.061738575974583335,-0.06729762603046062,0.003210878282048274,0.07673037573534539,0.021719637559253754,-0.04234456419230956,-0.15141986881381486,-0.005858595252092341,0.16484870338156288,0.057754745624397204,-0.03422323802900039,0.23469128115076648,-0.16713690033492482,-0.05662368771721682,-0.00760117401752369,0.013305261236146568,-0.041320419945489475,-0.04846345216063318,0.010539261123875036,-0.010716432882335689,0.0037198941352289934,0.007568854006588709,0.00660817073388234,-0.005699182172142998,-0.003031298950796831,-0.032100063295432704,-0.03660440448012573,-0.04829296284834226,0.010915832802166589,-0.02222748721652798,-0.04758653850349637,0.06182372284525883,-0.0024528759428744567,-0.053541662518615515,0.016081631708821334,-0.02969732993889962,-0.08693850079610344,0.772385211258346
player_season_xgchain_90,0.15324922867107396,0.1251941711719904,0.033207776017853574,-0.04055599311723767,0.09712600842185626,-0.1209392720728298,-0.14722437890827272,-0.06872447340022411,-0.09461813448371566,0.018472996250101736,0.027196375482883645,0.022959540106307172,-0.011204394253367332,0.016677623226292435,0.005975779791479121,-0.15283676137109445,0.02019101962567088,0.1568349410945034,-0.11276651742834629,0.0010544793531035712,0.14948564693702676,-0.02580156074208914,-0.050089964003431825,-0.06262956347016244,-0.0417188007768111,0.07037350719227159,-0.01905268523085936,-0.01757160770527759,0.02664228274978256,-0.04227206722899365,0.16866340238882274,0.3404838052860077,0.06462897628117943,-0.12900313686627782,0.07180833082966415,-0.119913232293748,-0.24078122921064798,-0.16912722039998443,0.37118312756285265,0.09395693611449613,0.23140651011699673,-0.15769778353944036,0.11876323802392966,-0.1400320229438807,0.044324093951649934,0.1290764362791845,0.17915428636029765,0.1434404442787434,-0.1498788199812028,0.03937621355079475,-0.12407231166961273,0.01335258251087576,0.15158071285004696,0.14992161056091347,0.0644385716794944,0.13156309526540005,0.04029968230395549,0.055402902908822264,0.10617807624944688,0.007937199239501216,0.060613083113175655,-0.05212557354504747,-0.19482322782770806,-0.10031852476081644,-0.09461641149781395,0.0141526344117592,0.07082733898487767,0.0030345505781398264,-0.049194604162967656,-0.0157753412927005,-0.0332610110349465,0.0009535562211095416,-0.0018961533044775658,0.0005916088403274955,-0.002459510343363676
player_season_lbp_completed_90,0.022717690711778243,0.2591724530832393,0.03918198718658228,0.03556800425288559,0.0804850311556452,0.0029502423730988214,-0.14066197663241148,-0.060397919845567555,0.04573720221094203,-0.0700124323790847,-0.015900855152400473,-0.010515376822496786,0.058010213676004216,-0.056178246389840064,-0.015676444489238633,0.04020889772803796,-0.20179300731792527,-0.015473221947053759,0.005180766684765003,-0.06462793725078095,0.006949826452210706,-0.15259532139847487,0.0066179115305172054,0.03921338663597457,-0.09993991477190825,-0.004219541281514961,0.05740053145062178,0.23457142057454722,-0.04368748707704051,0.07798236125981672,0.019315825703349138,-0.03578234149905895,0.008301301439094355,0.032142806976603266,-0.026929520689760927,0.086842263866439,0.01777044018853632,-0.006705514254862564,-0.053727312477144996,0.12596809628330818,-0.12415140046216866,0.00317131306112358,-0.05024791591534573,-0.1270868353806544,-0.0880182523404885,-0.11172599086669503,0.04441913331999331,-0.0705887936118599,-0.027535068512101205,-0.013819444621686284,-0.025992139105391502,-0.25220579310181224,0.024812009212340613,0.02059162781133511,0.036692554793874704,0.07189292723449942,-0.17394693856687413,-0.15109869248698105,0.16450090120278757,-0.21939886429621297,0.010127321009026705,0.1269879623283315,-0.04352483801065046,-0.07955134150625727,-0.10825638825587229,0.2338798627693359,-0.30407012463040234,-0.22406268381640196,-0.25401793799926153,0.38110756677050234,-0.0038177066127928604,-0.013318764494173449,-0.0061167413839844365,0.02722789003754414,0.02631631019782978
